trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-32.66164502238984,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-180.997046242666,"{0: 13, 1: 7, 2: 6, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-108.58388569862231,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-218.76119161381416,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-77.40684460398639,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-101.24087069260436,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-58.67503067501753,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,4,-18.520395011012877,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-107.65402024764771,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-123.0816904070362,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-47.17350103210471,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-30.608001786160273,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-185.62052905883638,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,12,2.183602906805786,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-68.03655879669448,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-67.73806298610371,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,21,14.826051917790647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,28.754405113788447,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-22.329843518363234,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-8.181339985900108,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,14,-31.571695759290197,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,7.7272863957802915,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-39.80977945525514,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,14,-30.060842449961232,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-69.08265354749967,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-22.6007316421702,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-23.28999026598117,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,4,-16.433832443196764,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-24.500516699211705,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,3,-28.93424688202942,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
