trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",25,0,-103.8281749654717,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-100.95641336465512,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",30,0,-154.29289731914233,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",25,0,-103.0519870884321,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",20,0,-40.2852357894718,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,0,-60.03661937766795,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",30,0,-18.097245017335997,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",25,0,-66.61947543164032,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",25,0,-52.53602566517813,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",20,0,-36.49527297978935,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",20,0,-29.36249669236527,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",25,0,-145.1808064185813,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",30,8,-121.1438997997902,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",20,0,-17.644245589541352,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",20,9,-1.8415111943091245,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",20,0,16.26666953479273,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,0,-16.801816727204308,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",30,16,-58.1995947566818,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
