trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.87475218127457,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.39060434765659,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.26032054095796,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.11155648331605,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-182.17190099382094,"{0: 22, 1: 6, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,4,-98.91251449868226,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.5548352222602,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.00535389065678,"{0: 9, 1: 7, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,12,-67.39582547935011,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.5055115005157,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.51558604883766,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.11258617400244,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.48673523787852,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.95279518770752,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.63906169798335,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,5,-114.15243652627784,"{0: 13, 1: 7, 2: 2, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.1632853444598,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.0661755098347,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.4644685103878,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,10,-88.82871617500115,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.99651390022717,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.8284779007195,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.90312183891186,"{0: 14, 1: 0, 2: 1, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-92.53102013712893,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.92358857010407,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.07413420005662,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.05172001752298,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.1132453661185,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,8,-121.24668058107687,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.00856219517084,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
